exp,date,w,fss,q
EG2,2018-11-21T17:00:00Z,101,0.397795605139161,1
EG2,2018-11-21T17:00:00Z,1,0.331252976906571,5
EG2,2018-11-21T17:00:00Z,5,0.487901672480538,5
EG2,2018-11-21T17:00:00Z,11,0.588172601648177,5
EG2,2018-11-21T17:00:00Z,51,0.797271159462256,5
EG2,2018-11-21T17:00:00Z,101,0.802251367470835,5
EG2,2018-11-21T17:00:00Z,1,0.347816559122481,10
EG2,2018-11-21T17:00:00Z,5,0.616558574720605,10
EG2,2018-11-21T17:00:00Z,11,0.743819265367593,10
EG2,2018-11-21T17:00:00Z,51,0.909970180085658,10
EG2,2018-11-21T17:00:00Z,101,0.880325235874023,10
EG2,2018-11-21T17:00:00Z,1,0.150504532238755,25
EG2,2018-11-21T17:00:00Z,5,0.34061943464839,25
EG2,2018-11-21T17:00:00Z,11,0.396154710360451,25
EG2,2018-11-21T17:00:00Z,51,0.680690174483699,25
EG2,2018-11-21T17:00:00Z,101,0.668475464721576,25
EG2,2018-11-21T17:00:00Z,1,0,50
EG2,2018-11-21T17:00:00Z,5,0,50
EG2,2018-11-21T17:00:00Z,11,0,50
EG2,2018-11-21T17:00:00Z,51,0.292579531137222,50
EG2,2018-11-21T17:00:00Z,101,0.292991762858887,50
EG2,2018-11-21T18:00:00Z,1,0.309028820912577,1
EG2,2018-11-21T18:00:00Z,5,0.392230280055032,1
EG2,2018-11-21T18:00:00Z,11,0.414324716231708,1
EG2,2018-11-21T18:00:00Z,51,0.411016731562577,1
EG2,2018-11-21T18:00:00Z,101,0.501770506410723,1
EG2,2018-11-21T18:00:00Z,1,0.419108822240708,5
EG2,2018-11-21T18:00:00Z,5,0.590447018573161,5
EG2,2018-11-21T18:00:00Z,11,0.706766192408584,5
EG2,2018-11-21T18:00:00Z,51,0.873491171575396,5
EG2,2018-11-21T18:00:00Z,101,0.8763523962827,5
EG2,2018-11-21T18:00:00Z,1,0.373395056336798,10
EG2,2018-11-21T18:00:00Z,5,0.616676619531596,10
EG2,2018-11-21T18:00:00Z,11,0.762183969889505,10
EG2,2018-11-21T18:00:00Z,51,0.939402101856895,10
EG2,2018-11-21T18:00:00Z,101,0.945356813592745,10
EG2,2018-11-21T18:00:00Z,1,0.157743393126113,25
EG2,2018-11-21T18:00:00Z,5,0.49053971604603,25
EG2,2018-11-21T18:00:00Z,11,0.606031594624482,25
EG2,2018-11-21T18:00:00Z,51,0.898108159018931,25
EG2,2018-11-21T18:00:00Z,101,0.897965092680478,25
